識別號,漢字,聲母,韻母,聲調,常用度,台語音標聲母,台語音標韻母,台語音標拼音,方音符號聲母,方音符號韻母,方音符號注音,聲母識別碼,韻母識別碼,聲調識別碼
212,捫,門,君,上上,,b,un,bun2,ㆠ,ㄨㄣ,ㆠㄨㄣ2,12,1,2
213,忖,出,君,上上,,c,un,cun2,ㄘ,ㄨㄣ,ㄘㄨㄣ2,14,1,2
214,偆,出,君,上上,,c,un,cun2,ㄘ,ㄨㄣ,ㄘㄨㄣ2,14,1,2
215,僢,出,君,上上,0.01 ,c,un,cun2,ㄘ,ㄨㄣ,ㄘㄨㄣ2,14,1,2
216,舛,出,君,上上,,c,un,cun2,ㄘ,ㄨㄣ,ㄘㄨㄣ2,14,1,2
217,荈,出,君,上上,,c,un,cun2,ㄘ,ㄨㄣ,ㄘㄨㄣ2,14,1,2
218,瞬,出,君,上上,,c,un,cun2,ㄘ,ㄨㄣ,ㄘㄨㄣ2,14,1,2
219,喘,出,君,上上,,c,un,cun2,ㄘ,ㄨㄣ,ㄘㄨㄣ2,14,1,2
220,賰,出,君,上上,,c,un,cun2,ㄘ,ㄨㄣ,ㄘㄨㄣ2,14,1,2
221,蠢,出,君,上上,,c,un,cun2,ㄘ,ㄨㄣ,ㄘㄨㄣ2,14,1,2
222,𧎌,出,君,上上,,c,un,cun2,ㄘ,ㄨㄣ,ㄘㄨㄣ2,14,1,2
223,㖺,出,君,上上,,c,un,cun2,ㄘ,ㄨㄣ,ㄘㄨㄣ2,14,1,2
224,𥬫,出,君,上上,,c,un,cun2,ㄘ,ㄨㄣ,ㄘㄨㄣ2,14,1,2
225,粉,喜,君,上上,,h,un,hun2,ㄏ,ㄨㄣ,ㄏㄨㄣ2,15,1,2
226,佷,喜,君,上上,,h,un,hun2,ㄏ,ㄨㄣ,ㄏㄨㄣ2,15,1,2
227,很,喜,君,上上,,h,un,hun2,ㄏ,ㄨㄣ,ㄏㄨㄣ2,15,1,2
228,坋,喜,君,上上,,h,un,hun2,ㄏ,ㄨㄣ,ㄏㄨㄣ2,15,1,2
229,坌,喜,君,上上,0.01 ,h,un,hun2,ㄏ,ㄨㄣ,ㄏㄨㄣ2,15,1,2
230,忿,喜,君,上上,,h,un,hun2,ㄏ,ㄨㄣ,ㄏㄨㄣ2,15,1,2
231,倱,喜,君,上上,,h,un,hun2,ㄏ,ㄨㄣ,ㄏㄨㄣ2,15,1,2
232,黺,喜,君,上上,,h,un,hun2,ㄏ,ㄨㄣ,ㄏㄨㄣ2,15,1,2
233,𪑕,喜,君,上上,,h,un,hun2,ㄏ,ㄨㄣ,ㄏㄨㄣ2,15,1,2
234,僨,喜,君,上上,,h,un,hun2,ㄏ,ㄨㄣ,ㄏㄨㄣ2,15,1,2
235,吩,喜,君,上上,,h,un,hun2,ㄏ,ㄨㄣ,ㄏㄨㄣ2,15,1,2
236,惲,喜,君,上上,,h,un,hun2,ㄏ,ㄨㄣ,ㄏㄨㄣ2,15,1,2
237,憤,喜,君,上上,,h,un,hun2,ㄏ,ㄨㄣ,ㄏㄨㄣ2,15,1,2
238,㤻,柳,君,上去,,l,un,lun3,ㄌ,ㄨㄣ,ㄌㄨㄣ3,1,1,3
239,溣,柳,君,上去,,l,un,lun3,ㄌ,ㄨㄣ,ㄌㄨㄣ3,1,1,3
240,棍,求,君,上去,,k,un,kun3,ㄍ,ㄨㄣ,ㄍㄨㄣ3,3,1,3
